id,student_id,commenter_id,commenter_name,content,created_at
1,1,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.169455
2,1,,Lecturer Tan,Needs improvement in assignments.,2025-11-14T16:59:41.169459
3,2,,Lecturer Tan,Attendance inconsistent but improving.,2025-11-14T16:59:41.169999
4,3,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.170219
5,5,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.170535
6,7,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.170900
7,8,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.171048
8,8,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.171050
9,9,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.171244
10,10,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.171459
11,12,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.171771
12,14,,Lecturer Tan,Needs improvement in assignments.,2025-11-14T16:59:41.172087
13,14,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.172089
14,18,,Lecturer Tan,Attendance inconsistent but improving.,2025-11-14T16:59:41.172775
15,19,,Lecturer Tan,Needs improvement in assignments.,2025-11-14T16:59:41.172973
16,21,,Lecturer Siti,Strong teamwork and communication skills.,2025-11-14T16:59:41.173410
17,21,,Lecturer Ali,Needs improvement in assignments.,2025-11-14T16:59:41.173412
18,22,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.173612
19,22,,Lecturer Ali,Strong teamwork and communication skills.,2025-11-14T16:59:41.173615
20,23,,Lecturer Siti,Excellent project work.,2025-11-14T16:59:41.173780
21,23,,Lecturer Tan,"Good progress, active in class.",2025-11-14T16:59:41.173782
22,24,,Lecturer Ali,Strong teamwork and communication skills.,2025-11-14T16:59:41.173959
23,25,,Lecturer Ali,Excellent project work.,2025-11-14T16:59:41.174168
24,25,,Lecturer Siti,Needs improvement in assignments.,2025-11-14T16:59:41.174172
25,27,,Lecturer Siti,"Good progress, active in class.",2025-11-14T16:59:41.174489
26,27,,Lecturer Tan,Excellent project work.,2025-11-14T16:59:41.174491
27,29,,Lecturer Ali,Attendance inconsistent but improving.,2025-11-14T16:59:41.174917
28,29,,Lecturer Ali,Needs improvement in assignments.,2025-11-14T16:59:41.174919
29,30,,Lecturer Siti,Attendance inconsistent but improving.,2025-11-14T16:59:41.175051
